Block number,Time,Gas used,Gas limit,Base fee per gas
12965370,1628172179,14542560,27985386,98743418669
12965371,1628172230,12350037,27958058,99228455282
12965372,1628172247,13367367,27985359,97783054820
12965373,1628172264,543392,28012687,97236832421
12965374,1628172265,27968708,27985332,85553780051
12965375,1628172276,9405675,28012660,96235297276
12965376,1628172285,3787981,27985305,92283999885
12965377,1628172288,27944962,27957977,83871299979
12965378,1628172296,3806580,27930676,94345452282
12965379,1628172302,7976324,27903401,85766778622
12965380,1628172304,7318527,27876153,81175145071
12965381,1628172317,27897952,27903374,76356125840
12965382,1628172321,3279070,27876126,85896932315
12965383,1628172329,27837724,27848905,77685830814
12965384,1628172338,10639060,27876100,87388762881
12965385,1628172343,8032089,27848879,84803262624
12965386,1628172354,27804793,27821684,80317529801
12965387,1628172363,849852,27794516,90345030504
12965388,1628172367,27746948,27767374,79742504694
12965389,1628172384,14778497,27794489,89695652904
12965390,1628172402,18858646,27767347,90406626274
12965391,1628172416,27793331,27794462,94456081745
12965392,1628172466,8115681,27767320,106262131071
12965393,1628172469,13124120,27740205,100743793863
12965394,1628172473,21966938,27767294,100066500207
12965395,1628172491,3078067,27794409,107349048521
12965396,1628172496,6357981,27821550,96902486188
12965397,1628172498,27782670,27794382,90325888944
12965398,1628172520,243901,27821523,101607109678
12965399,1628172523,27783055,27794355,89128908962
12965400,1628172530,8026699,27767214,100260964379
12965401,1628172535,24776018,27740099,94973980561
12965402,1628172548,1376999,27713011,104308692426
12965403,1628172552,22128780,27740073,92565823707
12965404,1628172557,27706025,27712985,99455472742
12965405,1628172586,7406639,27740047,111881163275
12965406,1628172596,5695278,27712959,105364132620
12965407,1628172600,25581097,27685897,97606950362
12965408,1628172611,1049869,27712933,107952695780
12965409,1628172612,409760,27739995,95481021276
12965410,1628172614,27702939,27712907,83898491956
12965411,1628172625,11001600,27739969,94378259886
12965412,1628172632,4883699,27712881,91938521216
12965413,1628172650,27667331,27685819,84496669821
12965414,1628172652,18225877,27712854,95044648042
12965415,1628172677,6564939,27685792,98791039855
12965416,1628172688,4329397,27712827,92298567651
12965417,1628172689,27733399,27739889,84366049954
12965418,1628172714,12103404,27766977,94906872406
12965419,1628172727,23169027,27794092,93385801071
12965420,1628172753,5588101,27766951,101174069286
12965421,1628172769,27785285,27794066,93617633093
12965422,1628172781,0,27766925,105312443057
12965423,1628172782,22577555,27739810,92148387675
12965424,1628172816,14168741,27712722,99379835078
12965425,1628172822,23425639,27685660,99659889423
12965426,1628172856,2927100,27712695,108283683160
12965427,1628172864,9944499,27739757,97607536705
12965428,1628172869,13977773,27766845,94154491058
12965429,1628172873,14857934,27739730,94234474674
12965430,1628172890,6377796,27712642,95073615530
12965431,1628172895,24026735,27739704,88659481409
12965432,1628172904,12518586,27712616,96775141002
12965433,1628172915,1711588,27685554,95607277283
12965434,1628172917,27700579,27712589,85134035981
12965435,1628172967,27666508,27685527,95766567462
12965436,1628172981,6675161,27658492,107720942178
12965437,1628172987,27617431,27631483,100755226399
12965438,1628173019,3911674,27658465,113336820833
12965439,1628173036,11692863,27685474,103176960780
12965440,1628173040,27700950,27712509,101173947708
12965441,1628173074,7151696,27739570,113810142067
12965442,1628173092,7061336,27766658,106919383996
12965443,1628173098,27784919,27793772,100352125441
12965444,1628173134,3786170,27766631,112888149966
12965445,1628173142,20893579,27739517,102625399148
12965446,1628173149,6154664,27766605,109121749279
12965447,1628173159,9650149,27739491,101528432339
12965448,1628173161,13831112,27712403,97667429785
12965449,1628173165,15505519,27739464,97645324356
12965450,1628173182,3703222,27712376,99084852461
12965451,1628173187,647760,27685315,90009438483
12965452,1628173192,27649825,27658280,79284751834
12965453,1628173205,5916217,27631271,89189286573
12965454,1628173216,27598509,27604289,82814774510
12965455,1628173238,1455941,27577333,93162286973
12965456,1628173242,27543597,27550404,82746623254
12965457,1628173243,1255461,27523501,93084840017
12965458,1628173244,15829877,27496624,82510731431
12965459,1628173263,20923141,27523475,84072299959
12965460,1628173264,14432387,27550352,89541047338
12965461,1628173277,13917684,27523449,90075045608
12965462,1628173287,4593076,27550326,90202646845
12965463,1628173293,11180697,27577229,82686868711
12965464,1628173301,13151461,27550300,80731990482
12965465,1628173306,8030505,27577203,80275083893
12965466,1628173313,9472552,27550274,76084741818
12965467,1628173316,27575386,27577177,73114162752
12965468,1628173333,4326126,27604106,82252246658
12965469,1628173341,23682076,27631062,75193366678
12965470,1628173359,1408609,27604080,81905909395
12965471,1628173367,27611757,27631036,72712565182
12965472,1628173382,5059827,27604054,81788952397
12965473,1628173395,11945520,27577098,75313314982
12965474,1628173403,9864015,27550169,74054982583
12965475,1628173409,20072012,27577072,71426739566
12965476,1628173420,9984609,27604001,75495411213
12965477,1628173427,14091448,27630957,72885322972
12965478,1628173430,9434167,27657939,73067312355
12965479,1628173438,27670273,27684947,70164742662
12965480,1628173461,21789852,27711982,78926038679
12965481,1628173496,8380455,27684921,84575113329
12965482,1628173507,27543161,27657886,80403621305
12965483,1628173541,16994195,27630878,90370695348
12965484,1628173566,925669,27657860,92969838144
12965485,1628173568,22151993,27630852,82126500241
12965486,1628173580,7231304,27603870,88321143386
12965487,1628173590,14420609,27576915,83065307496
12965488,1628173609,17410921,27549986,83541338826
12965489,1628173624,0,27576889,86297694972
12965490,1628173625,27537154,27549960,75510483101
12965491,1628173661,27502745,27523057,84940518636
12965492,1628173687,1251116,27496181,95542412723
12965493,1628173691,24406893,27469331,84686440660
12965494,1628173724,16163793,27496155,92911914335
12965495,1628173762,12317041,27523005,94952643358
12965496,1628173778,5805764,27549881,93706818319
12965497,1628173783,13322593,27522978,86930326665
12965498,1628173798,15125067,27549854,86583767396
12965499,1628173810,3392543,27522951,87644573450
12965500,1628173813,27537659,27549827,79389820396
12965501,1628173822,5301253,27522924,89304782591
12965502,1628173830,11629182,27496048,82441984098
12965503,1628173872,27505230,27522898,80853741868
12965504,1628173877,8908741,27549774,90947483824
12965505,1628173893,14138483,27576677,86931446029
12965506,1628173896,16690056,27549748,87207391280
12965507,1628173917,5303931,27576651,89514358092
12965508,1628173928,13780284,27549722,82629229889
12965509,1628173936,284622,27522819,82633296157
12965510,1628173940,27544078,27549695,72517768276
12965511,1628173949,3262216,27522793,81578793627
12965512,1628173951,21305817,27495917,73798783169
12965513,1628173953,14003985,27469067,78870089009
12965514,1628173967,339023,27442243,79063503878
12965515,1628173973,27451510,27469041,69424754636
12965516,1628173986,11333174,27442217,78091772714
12965517,1628174003,8516109,27469015,76392948545
12965518,1628174016,7709767,27495839,72764780368
12965519,1628174019,8201900,27522689,68769950277
12965520,1628174024,26588942,27495813,65297154602
12965521,1628174029,5007287,27468963,72920889381
12965522,1628174030,11238702,27495787,67128945475
12965523,1628174038,2044523,27522637,65597444014
12965524,1628174040,27543230,27549513,58615992419
12965525,1628174043,11798802,27576415,65939649981
12965526,1628174051,1057421,27603344,64750402992
12965527,1628174053,27623712,27630299,57276712594
12965528,1628174061,7603276,27657280,64432888527
12965529,1628174072,21690841,27684288,60807096470
12965530,1628174093,7687364,27711322,65116909997
12965531,1628174103,10249305,27738382,61493296871
12965532,1628174109,27759465,27765469,59487063014
12965533,1628174152,8513027,27738356,66919730558
12965534,1628174171,17589852,27765443,63689256285
12965535,1628174179,13775909,27792556,65815140111
12965536,1628174206,9138924,27819696,65743879100
12965537,1628174218,22822028,27846862,62925201187
12965538,1628174226,9083802,27819669,67952212906
12965539,1628174242,14968152,27846835,65005201156
12965540,1628174256,12074375,27874028,65614904298
12965541,1628174278,10533235,27901247,64518750562
12965542,1628174282,8194513,27928493,62543161337
12965543,1628174286,27892404,27901221,59312971341
12965544,1628174301,14486562,27928467,66722407451
12965545,1628174328,11208354,27955739,67034374534
